Abroscopus albogularis,Rufous-faced Warbler
Glaucidium hardyi,Amazonian Pygmy-Owl
Glaucidium jardinii,Andean Pygmy-Owl
Glaucidium minutissimum,Least Pygmy-Owl
Glaucidium nana,Austral Pygmy-Owl
Glaucidium palmarum,Colima Pygmy-Owl
Glaucidium passerinum,Eurasian Pygmy-Owl
Glaucidium perlatum,Pearl-spotted Owlet
Glaucidium peruanum,Peruvian Pygmy-Owl
Glaucidium radiatum,Jungle Owlet
Glossopsitta concinna,Musk Lorikeet
Glyphorynchus spirurus,Wedge-billed Woodcreeper
Gnorimopsar chopi,Chopi Blackbird
Gorsachius melanolophus,Malayan Night-Heron
Gracula indica,Southern Hill Myna
Gracula religiosa,Common Hill Myna
Gracupica contra,Asian Pied Starling
Gracupica nigricollis,Black-collared Starling
Grallaria alleni,Moustached Antpitta
Grallaria bangsi,Santa Marta Antpitta
Grallaria flavotincta,Yellow-breasted Antpitta
Grallaria guatimalensis,Scaled Antpitta
Grallaria haplonota,Plain-backed Antpitta
Grallaria hypoleuca,White-bellied Antpitta
Grallaria nuchalis,Chestnut-naped Antpitta
Grallaria quitensis,Tawny Antpitta
Grallaria ruficapilla,Chestnut-crowned Antpitta
Grallaria rufocinerea,Bicolored Antpitta
Grallaria rufula,Muisca Antpitta
Grallaria saturata,Equatorial Antpitta
Grallaria squamigera,Undulated Antpitta
Grallaria varia,Variegated Antpitta
Grallaricula ferrugineipectus,Rusty-breasted Antpitta
Grallaricula flavirostris,Ochre-breasted Antpitta
Grallaricula nana,Slate-crowned Antpitta
Grallina cyanoleuca,Magpie-lark
Grammatoptila striata,Striated Laughingthrush
Granatellus pelzelni,Rose-breasted Chat
Granatellus sallaei,Gray-throated Chat
Grus grus,Common Crane
Gryllus assimilis,Gryllus assimilis
Gryllus fultoni,Southern Wood Cricket
Gryllus pennsylvanicus,Fall Field Cricket
Gryllus rubens,Southeastern Field Cricket
Gubernetes yetapa,Streamer-tailed Tyrant
Guira guira,Guira Cuckoo
Gun,Gun
Gygis alba,White Tern
Gymnocichla nudiceps,Bare-crowned Antbird
Gymnopithys bicolor,Bicolored Antbird
Gymnopithys leucaspis,White-cheeked Antbird
Gymnopithys rufigula,Rufous-throated Antbird
Gymnorhina tibicen,Australian Magpie
Gymnorhinus cyanocephalus,Pinyon Jay
Gymnoris superciliaris,Yellow-throated Bush Sparrow
Gymnoris xanthocollis,Yellow-throated Sparrow
Habia atrimaxillaris,Black-cheeked Ant-Tanager
Habia cristata,Crested Ant-Tanager
Habia fuscicauda,Red-throated Ant-Tanager
Habia gutturalis,Sooty Ant-Tanager
Habia rubica,Red-crowned Ant-Tanager
Haematopus bachmani,Black Oystercatcher
Haematopus ostralegus,Eurasian Oystercatcher
Haematopus palliatus,American Oystercatcher
Haemorhous cassinii,Cassin's Finch
Haemorhous mexicanus,House Finch
Haemorhous purpureus,Purple Finch
Hafferia fortis,Sooty Antbird
Hafferia immaculata,Blue-lored Antbird
Hafferia zeledoni,Zeledon's Antbird
Halcyon albiventris,Brown-hooded Kingfisher
Halcyon coromanda,Ruddy Kingfisher
Halcyon malimbica,Blue-breasted Kingfisher
Halcyon senegalensis,Woodland Kingfisher
Halcyon smyrnensis,White-throated Kingfisher
Haliaeetus albicilla,White-tailed Eagle
Haliaeetus leucocephalus,Bald Eagle
Haliaeetus leucogaster,White-bellied Sea-Eagle
Haliaeetus vocifer,African Fish-Eagle
Haliastur indus,Brahminy Kite
Haplospiza unicolor,Uniform Finch
Harpactes diardii,Diard's Trogon
Harpactes erythrocephalus,Red-headed Trogon
Harpactes kasumba,Red-naped Trogon
Harpactes oreskios,Orange-breasted Trogon
Harpia harpyja,Harpy Eagle
Hedydipna collaris,Collared Sunbird
Heliobletus contaminatus,Sharp-billed Treehunter
Hellmayrea gularis,White-browed Spinetail
Helmitheros vermivorum,Worm-eating Warbler
Helopsaltes certhiola,Pallas's Grasshopper Warbler
Hemignathus wilsoni,Akiapolaau
Hemithraupis guira,Guira Tanager
Hemithraupis ruficapilla,Rufous-headed Tanager
Hemitriccus diops,Drab-breasted Pygmy-Tyrant
Hemitriccus flammulatus,Flammulated Pygmy-Tyrant
Hemitriccus furcatus,Fork-tailed Pygmy-Tyrant
Hemitriccus granadensis,Black-throated Tody-Tyrant
Hemitriccus griseipectus,White-bellied Tody-Tyrant
Hemitriccus iohannis,Johannes's Tody-Tyrant
Hemitriccus margaritaceiventer,Pearly-vented Tody-Tyrant
Hemitriccus minimus,Zimmer's Tody-Tyrant
Hemitriccus minor,Snethlage's Tody-Tyrant
Hemitriccus nidipendulus,Hangnest Tody-Tyrant
Hemitriccus obsoletus,Brown-breasted Pygmy-Tyrant
Hemitriccus orbitatus,Eye-ringed Tody-Tyrant
Hemitriccus striaticollis,Stripe-necked Tody-Tyrant
Hemitriccus zosterops,White-eyed Tody-Tyrant
Hemixos castanonotus,Chestnut Bulbul
Hemixos flavala,Ashy Bulbul
Henicorhina leucophrys,Gray-breasted Wood-Wren
Henicorhina leucosticta,White-breasted Wood-Wren
Henicorhina negreti,Munchique Wood-Wren
Herpetotheres cachinnans,Laughing Falcon
Herpsilochmus atricapillus,Black-capped Antwren
Herpsilochmus axillaris,Yellow-breasted Antwren
Herpsilochmus dorsimaculatus,Spot-backed Antwren
Herpsilochmus frater,Rusty-winged Antwren
Herpsilochmus longirostris,Large-billed Antwren
Herpsilochmus rufimarginatus,Rufous-margined Antwren
Heteromyias cinereifrons,Gray-headed Robin
Heterophasia auricularis,White-eared Sibia
Heterophasia capistrata,Rufous Sibia
Heterophasia pulchella,Beautiful Sibia
Hieraaetus pennatus,Booted Eagle
Hierococcyx sparverioides,Large Hawk-Cuckoo
Hierococcyx varius,Common Hawk-Cuckoo
Himantopus himantopus,Black-winged Stilt
Himantopus leucocephalus,Pied Stilt
Himantopus mexicanus,Black-necked Stilt
Himatione sanguinea,Apapane
Hippolais icterina,Icterine Warbler
Hippolais polyglotta,Melodious Warbler
Hirundinea ferruginea,Cliff Flycatcher
Hirundo neoxena,Welcome Swallow
Hirundo rustica,Barn Swallow
Hirundo tahitica,Pacific Swallow
Horornis acanthizoides,Yellowish-bellied Bush Warbler
Horornis canturians,Manchurian Bush Warbler
Horornis diphone,Japanese Bush Warbler
Horornis flavolivaceus,Aberrant Bush Warbler
Horornis fortipes,Brownish-flanked Bush Warbler
Horornis vulcanius,Sunda Bush Warbler
Human non-vocal,Human non-vocal
Human vocal,Human vocal
Human whistle,Human whistle
Hydrobates castro,Band-rumped Storm-Petrel
Hydrobates leucorhous,Leach's Storm-Petrel
Hydrocoloeus minutus,Little Gull
Hydrophasianus chirurgus,Pheasant-tailed Jacana
Hydroprogne caspia,Caspian Tern
Hydropsalis maculicaudus,Spot-tailed Nightjar
Hydrornis irena,Malayan Banded-Pitta
Hylia prasina,Green Hylia
Hyliola regilla,Pacific Chorus Frog
Hylocharis chrysura,Gilded Hummingbird
Hylocichla mustelina,Wood Thrush
Hylomanes momotula,Tody Motmot
Hylopezus perspicillatus,Streak-chested Antpitta
Hylophilus amaurocephalus,Gray-eyed Greenlet
Hylophilus flavipes,Scrub Greenlet
Hylophilus olivaceus,Olivaceous Greenlet
Hylophilus pectoralis,Ashy-headed Greenlet
Hylophilus poicilotis,Rufous-crowned Greenlet
Hylophilus semicinereus,Gray-chested Greenlet
Hylophilus thoracicus,Lemon-chested Greenlet
Hylophylax naevioides,Spotted Antbird
Hylophylax naevius,Spot-backed Antbird
Hylophylax punctulatus,Dot-backed Antbird
Hypnelus ruficollis,Russet-throated Puffbird
Hypocnemis cantator,Guianan Warbling-Antbird
Hypocnemis hypoxantha,Yellow-browed Antbird
Hypocnemis peruviana,Peruvian Warbling-Antbird
Hypocnemis striata,Spix's Warbling-Antbird
Hypocnemis subflava,Yellow-breasted Warbling-Antbird
Hypocnemoides maculicauda,Band-tailed Antbird
Hypocnemoides melanopogon,Black-chinned Antbird
Hypoedaleus guttatus,Spot-backed Antshrike
Hypopyrrhus pyrohypogaster,Red-bellied Grackle
Hypothymis azurea,Black-naped Monarch
Hypsipetes amaurotis,Brown-eared Bulbul
Hypsipetes ganeesa,Square-tailed Bulbul
Hypsipetes leucocephalus,Black Bulbul
Hypsipetes philippinus,Philippine Bulbul
Ianthocincla ocellata,Spotted Laughingthrush
Ibycter americanus,Red-throated Caracara
Ichthyaetus melanocephalus,Mediterranean Gull
Icteria virens,Yellow-breasted Chat
Icterus bullockii,Bullock's Oriole
Icterus cayanensis,Epaulet Oriole
Icterus chrysater,Yellow-backed Oriole
Icterus croconotus,Orange-backed Troupial
Icterus cucullatus,Hooded Oriole
Icterus galbula,Baltimore Oriole
Icterus graduacauda,Audubon's Oriole
Icterus gularis,Altamira Oriole
Icterus icterus,Venezuelan Troupial
Icterus mesomelas,Yellow-tailed Oriole
Icterus nigrogularis,Yellow Oriole
Icterus parisorum,Scott's Oriole
Icterus pectoralis,Spot-breasted Oriole
Icterus pustulatus,Streak-backed Oriole
Icterus pyrrhopterus,Variable Oriole
Icterus spurius,Orchard Oriole
Icterus wagleri,Black-vented Oriole
Ictinia mississippiensis,Mississippi Kite
Iduna caligata,Booted Warbler
Iduna opaca,Western Olivaceous Warbler
Iduna pallida,Eastern Olivaceous Warbler
Iduna rama,Sykes's Warbler
Ilicura militaris,Pin-tailed Manakin
Illadopsis fulvescens,Brown Illadopsis
Incilius valliceps,Gulf Coast Toad
Indicator indicator,Greater Honeyguide
Indicator minor,Lesser Honeyguide
Indicator variegatus,Scaly-throated Honeyguide
Inezia caudata,Pale-tipped Tyrannulet
Inezia inornata,Plain Tyrannulet
Iole indica,Yellow-browed Bulbul
Irena puella,Asian Fairy-bluebird
Isleria hauxwelli,Plain-throated Antwren
Ixobrychus exilis,Least Bittern
Ixobrychus minutus,Little Bittern
Ixobrychus sinensis,Yellow Bittern
Ixoreus naevius,Varied Thrush
Ixos mcclellandii,Mountain Bulbul
Jacamerops aureus,Great Jacamar
Jacana jacana,Wattled Jacana
Jacana spinosa,Northern Jacana
Junco hyemalis,Dark-eyed Junco
Junco phaeonotus,Yellow-eyed Junco
Jynx ruficollis,Rufous-necked Wryneck
Jynx torquilla,Eurasian Wryneck
Klais guimeti,Violet-headed Hummingbird
Kleinothraupis atropileus,Black-capped Hemispingus
Lacedo pulchella,Banded Kingfisher
Lagopus lagopus,Willow Ptarmigan
Lagopus leucura,White-tailed Ptarmigan
Lagopus muta,Rock Ptarmigan
Lalage melanoptera,Black-headed Cuckooshrike
Lalage melaschistos,Black-winged Cuckooshrike
Lalage tricolor,White-winged Triller
Lampornis clemenciae,Blue-throated Mountain-gem
Lampropsar tanagrinus,Velvet-fronted Grackle
Lamprospiza melanoleuca,Red-billed Pied Tanager
Lamprotornis australis,Burchell's Starling
Lamprotornis chalybaeus,Greater Blue-eared Starling
Lamprotornis splendidus,Splendid Starling
Lamprotornis superbus,Superb Starling
Laniarius barbarus,Yellow-crowned Gonolek
Laniarius ferrugineus,Southern Boubou
Laniarius funebris,Slate-colored Boubou
Laniarius major,Tropical Boubou
Lanio fulvus,Fulvous Shrike-Tanager
Lanio versicolor,White-winged Shrike-Tanager
Laniocera hypopyrra,Cinereous Mourner
Lanius borealis,Northern Shrike
Lanius bucephalus,Bull-headed Shrike
Lanius collurio,Red-backed Shrike
Lanius cristatus,Brown Shrike
Lanius excubitor,Great Gray Shrike
Lanius ludovicianus,Loggerhead Shrike
Lanius meridionalis,Iberian Gray Shrike
Lanius schach,Long-tailed Shrike
Lanius senator,Woodchat Shrike
Lanius vittatus,Bay-backed Shrike
Larosterna inca,Inca Tern
Larus argentatus,Herring Gull
Larus brachyrhynchus,Short-billed Gull
Larus cachinnans,Caspian Gull
Larus californicus,California Gull
Larus canus,Common Gull
Larus delawarensis,Ring-billed Gull
Larus dominicanus,Kelp Gull
Larus fuscus,Lesser Black-backed Gull
Larus glaucescens,Glaucous-winged Gull
Larus heermanni,Heermann's Gull
Larus hyperboreus,Glaucous Gull
Larus marinus,Great Black-backed Gull
Larus michahellis,Yellow-legged Gull
Larus occidentalis,Western Gull
Larvivora akahige,Japanese Robin
Larvivora brunnea,Indian Blue Robin
Larvivora cyane,Siberian Blue Robin
Larvivora sibilans,Rufous-tailed Robin
Laterallus albigularis,White-throated Crake
Laterallus exilis,Gray-breasted Crake
Laterallus jamaicensis,Black Rail
Laterallus melanophaius,Rufous-sided Crake
Laterallus ruber,Ruddy Crake
Lathrotriccus euleri,Euler's Flycatcher
Legatus leucophaius,Piratic Flycatcher
Leiothlypis celata,Orange-crowned Warbler
Leiothlypis crissalis,Colima Warbler
Leiothlypis luciae,Lucy's Warbler
Leiothlypis peregrina,Tennessee Warbler
Leiothlypis ruficapilla,Nashville Warbler
Leiothlypis virginiae,Virginia's Warbler
Leiothrix lutea,Red-billed Leiothrix
Leistes bellicosus,Peruvian Meadowlark
Leistes loyca,Long-tailed Meadowlark
Leistes militaris,Red-breasted Meadowlark
Leistes superciliaris,White-browed Meadowlark
Lepidocolaptes affinis,Spot-crowned Woodcreeper
Lepidocolaptes angustirostris,Narrow-billed Woodcreeper
Lepidocolaptes lacrymiger,Montane Woodcreeper
Lepidocolaptes leucogaster,White-striped Woodcreeper
Lepidocolaptes souleyetii,Streak-headed Woodcreeper
Lepidothrix coronata,Blue-crowned Manakin
Lepidothrix isidorei,Blue-rumped Manakin
Leptasthenura aegithaloides,Plain-mantled Tit-Spinetail
Leptasthenura platensis,Tufted Tit-Spinetail
Leptasthenura setaria,Araucaria Tit-Spinetail
Leptocoma minima,Crimson-backed Sunbird
Leptocoma zeylonica,Purple-rumped Sunbird
Leptodon cayanensis,Gray-headed Kite
Leptopogon amaurocephalus,Sepia-capped Flycatcher
Leptopogon rufipectus,Rufous-breasted Flycatcher
Leptopogon superciliaris,Slaty-capped Flycatcher
Leptosittaca branickii,Golden-plumed Parakeet
Leptotila cassinii,Gray-chested Dove
Leptotila plumbeiceps,Gray-headed Dove
Leptotila rufaxilla,Gray-fronted Dove
Leptotila verreauxi,White-tipped Dove
Lesbia victoriae,Black-tailed Trainbearer
Leucochloris albicollis,White-throated Hummingbird
Leucophaeus atricilla,Laughing Gull
Leucophaeus pipixcan,Franklin's Gull
Leucosticte tephrocotis,Gray-crowned Rosy-Finch
Lewinia pectoralis,Lewin's Rail
Lichmera indistincta,Brown Honeyeater
Limnodromus griseus,Short-billed Dowitcher
Limnodromus scolopaceus,Long-billed Dowitcher
Limnornis curvirostris,Curve-billed Reedhaunter
Limnothlypis swainsonii,Swainson's Warbler
Limosa fedoa,Marbled Godwit
Limosa haemastica,Hudsonian Godwit
Limosa lapponica,Bar-tailed Godwit
Limosa limosa,Black-tailed Godwit
Linaria cannabina,Eurasian Linnet
Linaria flavirostris,Twite
Liocichla steerii,Steere's Liocichla
Liosceles thoracicus,Rusty-belted Tapaculo
Lipaugus unirufus,Rufous Piha
Lipaugus vociferans,Screaming Piha
Lithobates catesbeianus,American Bullfrog
Lithobates clamitans,Green Frog
Lithobates palustris,Pickerel Frog
Lithobates sylvaticus,Wood Frog
Lochmias nematura,Sharp-tailed Streamcreeper
Locustella davidi,Baikal Bush Warbler
Locustella fluviatilis,River Warbler
Locustella lanceolata,Lanceolated Warbler
Locustella luscinioides,Savi's Warbler
Locustella mandelli,Russet Bush Warbler
Locustella naevia,Common Grasshopper-Warbler
Lonchura atricapilla,Chestnut Munia
Lonchura punctulata,Scaly-breasted Munia
Lonchura striata,White-rumped Munia
Lophoceros alboterminatus,Crowned Hornbill
Lophoceros nasutus,African Gray Hornbill
Lophodytes cucullatus,Hooded Merganser
Lophonetta specularioides,Crested Duck
Lophophanes cristatus,Crested Tit
Lophostrix cristata,Crested Owl
Lophotriccus galeatus,Helmeted Pygmy-Tyrant
Lophotriccus pileatus,Scale-crested Pygmy-Tyrant
Lophotriccus vitiosus,Double-banded Pygmy-Tyrant
Lophura leucomelanos,Kalij Pheasant
Loriculus vernalis,Vernal Hanging-Parrot
Loxia curvirostra,Red Crossbill
Loxia leucoptera,White-winged Crossbill
Loxia pytyopsittacus,Parrot Crossbill
Loxia sinesciuris,Cassia Crossbill
Loxioides bailleui,Palila
Loxops caeruleirostris,Akekee
Loxops coccineus,Hawaii Akepa
Loxops mana,Hawaii Creeper
Lullula arborea,Wood Lark
Lurocalis semitorquatus,Short-tailed Nighthawk
Luscinia luscinia,Thrush Nightingale
Luscinia megarhynchos,Common Nightingale
Luscinia phaenicuroides,White-bellied Redstart
Luscinia svecica,Bluethroat
Lybius torquatus,Black-collared Barbet
Lymnocryptes minimus,Jack Snipe
Lyncornis macrotis,Great Eared-Nightjar
Machaeropterus deliciosus,Club-winged Manakin
Machaeropterus pyrocephalus,Fiery-capped Manakin
Machaeropterus striolatus,Striolated Manakin
Machetornis rixosa,Cattle Tyrant
Machlolophus spilonotus,Yellow-cheeked Tit
Mackenziaena leachii,Large-tailed Antshrike
Mackenziaena severa,Tufted Antshrike
Macronus ptilosus,Fluffy-backed Tit-Babbler
Macropygia phasianella,Brown Cuckoo-Dove
Macropygia ruficeps,Little Cuckoo-Dove
Malacocincla abbotti,Abbott's Babbler
Malacocincla sepiaria,Horsfield's Babbler
Malaconotus blanchoti,Gray-headed Bushshrike
Malacopteron affine,Sooty-capped Babbler
Malacopteron cinereum,Scaly-crowned Babbler
Malacopteron magnirostre,Moustached Babbler
Malacopteron magnum,Rufous-crowned Babbler
Malacoptila mystacalis,Moustached Puffbird
Malacoptila panamensis,White-whiskered Puffbird
Malacoptila striata,Crescent-chested Puffbird
Malurus cyaneus,Superb Fairywren
Malurus melanocephalus,Red-backed Fairywren
Malurus splendens,Splendid Fairywren
Manacus aurantiacus,Orange-collared Manakin
Manacus candei,White-collared Manakin
Manacus manacus,White-bearded Manakin
Manacus vitellinus,Golden-collared Manakin
Manorina melanocephala,Noisy Miner
Manorina melanophrys,Bell Miner
Mareca americana,American Wigeon
Mareca penelope,Eurasian Wigeon
Mareca strepera,Gadwall
Margarops fuscatus,Pearly-eyed Thrasher
Margarornis squamiger,Pearled Treerunner
Mecocerculus leucophrys,White-throated Tyrannulet
Mecocerculus poecilocercus,White-tailed Tyrannulet
Mecocerculus stictopterus,White-banded Tyrannulet
Megaceryle alcyon,Belted Kingfisher
Megaceryle torquata,Ringed Kingfisher
Megalurus palustris,Striated Grassbird
Megapodius reinwardt,Orange-footed Scrubfowl
Megarynchus pitangua,Boat-billed Flycatcher
Megascops albogularis,White-throated Screech-Owl
Megascops asio,Eastern Screech-Owl
Megascops atricapilla,Black-capped Screech-Owl
Megascops choliba,Tropical Screech-Owl
Megascops cooperi,Pacific Screech-Owl
Megascops guatemalae,Middle American Screech-Owl
Megascops ingens,Rufescent Screech-Owl
Megascops kennicottii,Western Screech-Owl
Megascops trichopsis,Whiskered Screech-Owl
Megascops watsonii,Tawny-bellied Screech-Owl
Melanerpes aurifrons,Golden-fronted Woodpecker
Melanerpes candidus,White Woodpecker
Melanerpes carolinus,Red-bellied Woodpecker
Melanerpes chrysogenys,Golden-cheeked Woodpecker
Melanerpes cruentatus,Yellow-tufted Woodpecker
Melanerpes erythrocephalus,Red-headed Woodpecker
Melanerpes flavifrons,Yellow-fronted Woodpecker
Melanerpes formicivorus,Acorn Woodpecker
Melanerpes hoffmannii,Hoffmann's Woodpecker
Melanerpes lewis,Lewis's Woodpecker
Melanerpes pucherani,Black-cheeked Woodpecker
Melanerpes rubricapillus,Red-crowned Woodpecker
Melanerpes uropygialis,Gila Woodpecker
Melaniparus cinerascens,Ashy Tit
Melanitta americana,Black Scoter
Melanitta nigra,Common Scoter
Melanochlora sultanea,Sultan Tit
Melanocorypha calandra,Calandra Lark
Melanopareia elegans,Elegant Crescentchest
Melanopareia maximiliani,Olive-crowned Crescentchest
Melanopareia torquata,Collared Crescentchest
Melanoptila glabrirostris,Black Catbird
Melanospiza bicolor,Black-faced Grassquit
Melanotis caerulescens,Blue Mockingbird
Melanotis hypoleucus,Blue-and-white Mockingbird
Meleagris gallopavo,Wild Turkey
Meliphaga lewinii,Lewin's Honeyeater
Melithreptus albogularis,White-throated Honeyeater
Mellisuga minima,Vervain Hummingbird
Melocichla mentalis,Moustached Grass-Warbler
Melospiza georgiana,Swamp Sparrow
Melospiza lincolnii,Lincoln's Sparrow
Melospiza melodia,Song Sparrow
Melozone aberti,Abert's Towhee
Melozone albicollis,White-throated Towhee
Melozone crissalis,California Towhee
Melozone fusca,Canyon Towhee
Melozone kieneri,Rusty-crowned Ground-Sparrow
Melozone leucotis,White-eared Ground-Sparrow
Menura novaehollandiae,Superb Lyrebird
Mergus merganser,Common Merganser
Mergus serrator,Red-breasted Merganser
Merops apiaster,European Bee-eater
Merops bullockoides,White-fronted Bee-eater
Merops leschenaulti,Chestnut-headed Bee-eater
Merops orientalis,Green Bee-eater
Merops ornatus,Rainbow Bee-eater
Merops persicus,Blue-cheeked Bee-eater
Merops philippinus,Blue-tailed Bee-eater
Merops pusillus,Little Bee-eater
Merulaxis ater,Slaty Bristlefront
Mesembrinibis cayennensis,Green Ibis
Metallura tyrianthina,Tyrian Metaltail
Metopidius indicus,Bronze-winged Jacana
Micrastur gilvicollis,Lined Forest-Falcon
Micrastur mirandollei,Slaty-backed Forest-Falcon
Micrastur ruficollis,Barred Forest-Falcon
Micrastur semitorquatus,Collared Forest-Falcon
Micrathene whitneyi,Elf Owl
Microbates cinereiventris,Tawny-faced Gnatwren
Microcentrum rhombifolium,Greater Angle-wing
Microcerculus bambla,Wing-banded Wren
Microcerculus marginatus,Scaly-breasted Wren
Microcerculus philomela,Nightingale Wren
Microeca fascinans,Jacky-winter
Microeca flavigaster,Lemon-bellied Flycatcher
Micronisus gabar,Gabar Goshawk
Micropternus brachyurus,Rufous Woodpecker
Microrhopias quixensis,Dot-winged Antwren
Microspingus melanoleucus,Black-capped Warbling Finch
Milvago chimachima,Yellow-headed Caracara
Milvago chimango,Chimango Caracara
Milvus migrans,Black Kite
Milvus milvus,Red Kite
Mimus gilvus,Tropical Mockingbird
Mimus gundlachii,Bahama Mockingbird
Mimus longicaudatus,Long-tailed Mockingbird
Mimus patagonicus,Patagonian Mockingbird
Mimus polyglottos,Northern Mockingbird
Mimus saturninus,Chalk-browed Mockingbird
Mimus thenca,Chilean Mockingbird
Miogryllus saussurei,Miogryllus saussurei
Mionectes oleagineus,Ochre-bellied Flycatcher
Mionectes olivaceus,Olive-striped Flycatcher
Mionectes rufiventris,Gray-hooded Flycatcher
Mirafra affinis,Jerdon's Bushlark
Mirafra africana,Rufous-naped Lark
Mirafra cantillans,Singing Bushlark
Mirafra erythroptera,Indian Bushlark
Mirafra fasciolata,Eastern Clapper Lark
Mirafra javanica,Australasian Bushlark
Mirafra passerina,Monotonous Lark
Mitrephanes phaeocercus,Tufted Flycatcher
Mitrospingus cassinii,Dusky-faced Tanager
Mixornis bornensis,Bold-striped Tit-Babbler
Mixornis gularis,Pin-striped Tit-Babbler
Mniotilta varia,Black-and-white Warbler
Mohoua albicilla,Whitehead
Molothrus aeneus,Bronzed Cowbird
Molothrus ater,Brown-headed Cowbird
Molothrus bonariensis,Shiny Cowbird
Molothrus oryzivorus,Giant Cowbird
Molothrus rufoaxillaris,Screaming Cowbird
Momotus aequatorialis,Andean Motmot
Momotus lessonii,Lesson's Motmot
Momotus mexicanus,Russet-crowned Motmot
Momotus momota,Amazonian Motmot
Momotus subrufescens,Whooping Motmot
Monarcha melanopsis,Black-faced Monarch
Monasa atra,Black Nunbird
Monasa morphoeus,White-fronted Nunbird
Monasa nigrifrons,Black-fronted Nunbird
Monticola saxatilis,Rufous-tailed Rock-Thrush
Monticola solitarius,Blue Rock-Thrush
Montifringilla nivalis,White-winged Snowfinch
Morococcyx erythropygus,Lesser Ground-Cuckoo
Morphnarchus princeps,Barred Hawk
Morus bassanus,Northern Gannet
Motacilla aguimp,African Pied Wagtail
Motacilla alba,White Wagtail
Motacilla capensis,Cape Wagtail
Motacilla cinerea,Gray Wagtail
Motacilla citreola,Citrine Wagtail
Motacilla flava,Western Yellow Wagtail
Motacilla grandis,Japanese Wagtail
Motacilla maderaspatensis,White-browed Wagtail
Motacilla tschutschensis,Eastern Yellow Wagtail
Mulleripicus pulverulentus,Great Slaty Woodpecker
Muscicapa adusta,African Dusky Flycatcher
Muscicapa dauurica,Asian Brown Flycatcher
Muscicapa griseisticta,Gray-streaked Flycatcher
Muscicapa striata,Spotted Flycatcher
Mustelirallus albicollis,Ash-throated Crake
Mustelirallus erythrops,Paint-billed Crake
Myadestes genibarbis,Rufous-throated Solitaire
Myadestes melanops,Black-faced Solitaire
Myadestes obscurus,Omao
Myadestes occidentalis,Brown-backed Solitaire
Myadestes palmeri,Puaiohi
Myadestes ralloides,Andean Solitaire
Myadestes townsendi,Townsend's Solitaire
Myadestes unicolor,Slate-colored Solitaire
Myiagra alecto,Shining Flycatcher
Myiagra inquieta,Restless Flycatcher
Myiagra rubecula,Leaden Flycatcher
Myiarchus cephalotes,Pale-edged Flycatcher
Myiarchus cinerascens,Ash-throated Flycatcher
Myiarchus crinitus,Great Crested Flycatcher
Myiarchus ferox,Short-crested Flycatcher
Myiarchus nuttingi,Nutting's Flycatcher
Myiarchus sagrae,La Sagra's Flycatcher
Myiarchus swainsoni,Swainson's Flycatcher
Myiarchus tuberculifer,Dusky-capped Flycatcher
Myiarchus tyrannulus,Brown-crested Flycatcher
Myiarchus yucatanensis,Yucatan Flycatcher
Myioborus brunniceps,Brown-capped Redstart
Myioborus melanocephalus,Spectacled Redstart
Myioborus miniatus,Slate-throated Redstart
Myioborus ornatus,Golden-fronted Redstart
Myioborus pictus,Painted Redstart
Myiodynastes chrysocephalus,Golden-crowned Flycatcher
Myiodynastes luteiventris,Sulphur-bellied Flycatcher
Myiodynastes maculatus,Streaked Flycatcher
Myiomela leucura,White-tailed Robin
Myiopagis caniceps,Gray Elaenia
Myiopagis flavivertex,Yellow-crowned Elaenia
Myiopagis gaimardii,Forest Elaenia
Myiopagis viridicata,Greenish Elaenia
Myiophobus fasciatus,Bran-colored Flycatcher
Myiophobus flavicans,Flavescent Flycatcher
Myiopsitta monachus,Monk Parakeet
Myiornis atricapillus,Black-capped Pygmy-Tyrant
Myiornis auricularis,Eared Pygmy-Tyrant
Myiornis ecaudatus,Short-tailed Pygmy-Tyrant
Myiotheretes fumigatus,Smoky Bush-Tyrant
Myiotheretes striaticollis,Streak-throated Bush-Tyrant
Myiothlypis bivittata,Two-banded Warbler
Myiothlypis chrysogaster,Golden-bellied Warbler
Myiothlypis coronata,Russet-crowned Warbler
Myiothlypis flaveola,Flavescent Warbler
Myiothlypis fraseri,Gray-and-gold Warbler
Myiothlypis fulvicauda,Buff-rumped Warbler
Myiothlypis leucoblephara,White-browed Warbler
Myiothlypis luteoviridis,Citrine Warbler
Myiothlypis nigrocristata,Black-crested Warbler
Myiothlypis rivularis,Riverbank Warbler
Myiothlypis signata,Pale-legged Warbler
Myiotriccus ornatus,Ornate Flycatcher
Myiozetetes cayanensis,Rusty-margined Flycatcher
Myiozetetes granadensis,Gray-capped Flycatcher
Myiozetetes luteiventris,Dusky-chested Flycatcher
Myiozetetes similis,Social Flycatcher
Myophonus caeruleus,Blue Whistling-Thrush
Myophonus horsfieldii,Malabar Whistling-Thrush
Myophonus insularis,Taiwan Whistling-Thrush
Myornis senilis,Ash-colored Tapaculo
Myrmeciza longipes,White-bellied Antbird
Myrmelastes hyperythrus,Plumbeous Antbird
Myrmelastes leucostigma,Spot-winged Antbird
Myrmoborus leucophrys,White-browed Antbird
Myrmoborus lophotes,White-lined Antbird
Myrmoborus myotherinus,Black-faced Antbird
Myrmoderus ferrugineus,Ferruginous-backed Antbird
Myrmoderus loricatus,White-bibbed Antbird
Myrmoderus squamosus,Squamate Antbird
