,Common name / Scientific,Length,Recordist,Date,Time,Country,Location,Elev. (m),Type,Remarks,Actions,Cat.nr.,copyright,filename,download url
288,American Redstart (Setophaga ruticilla),0:12,Allen T. Chartier,2007-05-18,?,United States,"Michigan, Port Huron SGA",210,"call, song","Score for song
  [also]
[sono]",ABCDE,XC16980,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC16980 - American Redstart - Setophaga ruticilla.mp3,/16980/download
289,American Redstart (Setophaga ruticilla),1:42,Cody Limber,2022-05-11,14:36,United States,"Whitney Ave & Whitney Ave Museum (near  Hamden), New Haven County, Connecticut",20,"adult, male, song","[also]
[sono]",ABCDE,XC728999,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC728999 - American Redstart - Setophaga ruticilla.mp3,/728999/download
290,American Redstart (Setophaga ruticilla),0:26,Henro Feher,2021-06-06,11:30,Canada,"Milton, Regional Municipality of Halton, Ontario",320,uncertain,"Plz help ID. Is this American Redstart with Rose Breasted Grosbeak. What is at 0:18?
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC654901,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC654901 - American Redstart - Setophaga ruticilla.mp3,/654901/download
291,American Redstart (Setophaga ruticilla),0:01,Henro Feher,2021-05-24,12:30,Canada,"Milton, Regional Municipality of Halton, Ontario",320,uncertain,"Halton Forest, mid day hike, deep woods
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC651511,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC651511 - American Redstart - Setophaga ruticilla.mp3,/651511/download
292,American Redstart (Setophaga ruticilla),0:10,Robin Besançon,2021-05-16,09:00,Canada,"Domaine de Maizerets (near  Québec), Communauté-Urbaine-de-Québec, Québec",10,"aberrant, call","bird-seen:yes
playback-used:no
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC649059,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC649059 - American Redstart - Setophaga ruticilla.mp3,/649059/download
293,(?) American Redstart (Setophaga ruticilla),0:30,Bryan McIntosh,2019-09-09,10:28,United States,"Kelseyville, Lake County, California",400,"call, life stage uncertain, sex uncertain","An apparent American Redstart calling a few times with sharp single chip notes among other sps. in a riparian thicket.  The first call is at about 5 secs. in, and is repeated 3 more times through the recording.  Though this does sound and graph as a good match to American Redstart, further ID comment is requested to confirm.
bird-seen:no
playback-used:no
 ID under discussion. See the forum. [also]
[sono]",ABCDE,XC639616,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC639616 - American Redstart - Setophaga ruticilla.mp3,/639616/download
294,American Redstart (Setophaga ruticilla),0:53,Sue Riffe,2017-06-09,17:01,United States,"Little Kennebago Lake, Franklin Co., Maine",550,"adult, sex uncertain, song","3 birds singing - natural vocalization in light rain and bugs
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC626754,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC626754 - American Redstart - Setophaga ruticilla.mp3,/626754/download
295,American Redstart (Setophaga ruticilla),1:18,Ray Cooke,2020-07-05,09:18,Canada,New Harmony Woodlot,70,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC603247,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC603247 - American Redstart - Setophaga ruticilla.mp3,/603247/download
296,American Redstart (Setophaga ruticilla),0:46,Michael Hurben,2020-07-03,08:30,United States,"Minnesota Valley NWR, Old Cedar Ave Bridge, Hennepin, Minnesota",220,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC573216,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC573216 - American Redstart - Setophaga ruticilla.mp3,/573216/download
297,American Redstart (Setophaga ruticilla),0:20,Efraín Octavio,2020-04-30,09:30,Mexico,"Cihuatlán, Jalisco",10,"female, life stage uncertain, song","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC572756,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC572756 - American Redstart - Setophaga ruticilla.mp3,/572756/download
298,American Redstart (Setophaga ruticilla),1:04,Ray Cooke,2019-06-29,08:08,Canada,"Lot 42 (near  Saint Peters Bay), Kings County, Prince Edward Island",50,call,"bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC484395,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC484395 - American Redstart - Setophaga ruticilla.mp3,/484395/download
299,American Redstart (Setophaga ruticilla),1:04,Antonio Xeira,2016-05-12,09:30,United States,"Cranberry Lake Park, Oakland County, Michigan",300,song,"Editing: High-pass filter, cutoff frequency 1kHz, some amplification.
Equipment: Olympus WS-822 digital recorder with Audio-technica ATR 6550 shotgun.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC455565,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC455565 - American Redstart - Setophaga ruticilla.mp3,/455565/download
300,American Redstart (Setophaga ruticilla),1:05,Paul Marvin,2018-05-07,07:41,United States,"River Lakes Conservation Area near Viera, Brevard Co, Florida",0,"call, male","flight type call, male foraging
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC451822,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC451822 - American Redstart - Setophaga ruticilla.mp3,/451822/download
301,American Redstart (Setophaga ruticilla),1:05,Meena Haribal,2018-06-17,12:00,United States,"Hector, Schuyler County, New York",550,song,"Bird sang two different notes alternately
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC420843,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC420843 - American Redstart - Setophaga ruticilla.mp3,/420843/download
302,American Redstart (Setophaga ruticilla),0:04,Sue Riffe,2018-05-05,07:20,United States,"Shawnee State Forest, Scioto County, Ohio",180,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC417443,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC417443 - American Redstart - Setophaga ruticilla.mp3,/417443/download
303,American Redstart (Setophaga ruticilla),0:03,Étienne Leroy,2018-05-11,11:00,United States,"Northern Woods in Central Park, New York City, New York",10,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC415441,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC415441 - American Redstart - Setophaga ruticilla.mp3,/415441/download
304,American Redstart (Setophaga ruticilla),0:01,Fernando del Valle,2017-05-31,13:30,Canada,"Williamson Lake , near  Revelstoke, Columbia-Shuswap, British Columbia",460,"call, song","I need help with ID please.
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC408423,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC408423 - American Redstart - Setophaga ruticilla.mp3,/408423/download
305,American Redstart (Setophaga ruticilla),0:12,Fernando del Valle,2017-05-31,13:00,Canada,"Williamson Lake , near  Revelstoke, Columbia-Shuswap, British Columbia",460,"call, song","I need help with ID please.
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC408421,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC408421 - American Redstart - Setophaga ruticilla.mp3,/408421/download
306,American Redstart (Setophaga ruticilla),0:48,Fernando del Valle,2017-05-31,13:00,Canada,"Williamson Lake , near  Revelstoke, Columbia-Shuswap, British Columbia",460,"call, song","I need help with ID please.
 Originally a mystery recording. See the forum. [also]
[sono]",ABCDE,XC408420,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC408420 - American Redstart - Setophaga ruticilla.mp3,/408420/download
307,American Redstart (Setophaga ruticilla),0:29,David Bradley,2018-01-07,07:40,Cuba,"Soroa, Artemisa",220,call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC399139,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC399139 - American Redstart - Setophaga ruticilla.mp3,/399139/download
308,American Redstart (Setophaga ruticilla),0:09,Albert Lastukhin,2011-03-02,12:30,Venezuela,"Bolívar, Barinas",800,call,"playback-used:no
 [sono]",ABCDE,XC387777,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC387777 - American Redstart - Setophaga ruticilla.mp3,/387777/download
309,American Redstart (Setophaga ruticilla),0:09,Sue Riffe,2017-06-08,8:25,United States,"Marsh Rd (near  Milbridge), Washington County, Maine",20,song,"Natural vocalization from wooded area.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC382117,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC382117 - American Redstart - Setophaga ruticilla.mp3,/382117/download
310,American Redstart (Setophaga ruticilla),0:07,Simon Girard,2017-06-07,09:00,Canada,"La Malbaie, Charlevoix-Est, Québec",100,call,"bird-seen:yes
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC374232,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC374232 - American Redstart - Setophaga ruticilla.mp3,/374232/download
311,American Redstart (Setophaga ruticilla),0:24,William Whitehead,2017-05-27,09:00,United States,"New Jersey (near  Mountainside), Union County, New Jersey",100,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC372307,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC372307 - American Redstart - Setophaga ruticilla.mp3,/372307/download
312,American Redstart (Setophaga ruticilla),0:51,William Whitehead,2017-05-23,07:00,United States,"New Jersey (near  Linden), Union County, New Jersey",0,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC371638,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC371638 - American Redstart - Setophaga ruticilla.mp3,/371638/download
313,American Redstart (Setophaga ruticilla),0:04,Dominic Garcia-Hall,2017-05-17,08:00,United States,"Steven's Institute Cliffs, Hoboken, Hudson County, New Jersey",20,"male, song","adult male song vocalisation
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC370931,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC370931 - American Redstart - Setophaga ruticilla.mp3,/370931/download
314,American Redstart (Setophaga ruticilla),0:55,Dominic Garcia-Hall,2017-05-17,08:00,United States,"Steven's Institute Cliffs, Hoboken, Hudson County, New Jersey",20,"call, flight call, male, song","Immature male yellowstart singing
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC370930,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC370930 - American Redstart - Setophaga ruticilla.mp3,/370930/download
315,American Redstart (Setophaga ruticilla),0:12,Matt Brady,2017-04-27,09:00,United States,"Cherokee @ Camelia - E (near  Baton Rouge), East Baton Rouge Parish, Louisiana",20,song,"Recording taken from a migrant, forced down into a residential neighborhood by stormy weather. See http://ebird.org/ebird/view/checklist/S36311985 for further details and a photo.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC368490,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC368490 - American Redstart - Setophaga ruticilla.mp3,/368490/download
316,American Redstart (Setophaga ruticilla),0:09,Alfonso Auerbach,2017-04-14,09:00,Honduras,"El Tizatillo, near Tegucigalpa",1300,"call, male","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC364448,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC364448 - American Redstart - Setophaga ruticilla.mp3,/364448/download
317,American Redstart (Setophaga ruticilla),1:19,Guillermo Funes,2016-12-02,14:30,Belize,"Hopeville, Toledo District",10,song,"I never heard this bird singing before. Usually migratory birds are silent or jst make calls while wintering. Amplified recording
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC358316,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC358316 - American Redstart - Setophaga ruticilla.mp3,/358316/download
318,American Redstart (Setophaga ruticilla),0:29,Oswaldo Cortes,2016-10-20,07:00,Colombia,"Bogota, Barrio Bosa",2300,call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC339961,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC339961 - American Redstart - Setophaga ruticilla.mp3,/339961/download
319,American Redstart (Setophaga ruticilla),0:39,Thomas Magarian,2016-06-16,21:19,United States,"Bowman Lake GNP, Flathead County, Montana",1200,song,"Recording amplified.
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC334894,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC334894 - American Redstart - Setophaga ruticilla.mp3,/334894/download
320,American Redstart (Setophaga ruticilla),0:01,Jerald R,2016-08-08,04:00,United States,"Dover, Kent County, Delaware",10,"NFC, Nocturnal Flight Call, flight call","Flyover at my NFC station.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC330860,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC330860 - American Redstart - Setophaga ruticilla.mp3,/330860/download
321,American Redstart (Setophaga ruticilla),0:02,Jerald R,2016-08-08,04:00,United States,"Dover, Kent County, Delaware",10,"NFC, Nocturnal Flight Call","Flyover at my NFC station.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC330859,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC330859 - American Redstart - Setophaga ruticilla.mp3,/330859/download
322,American Redstart (Setophaga ruticilla),0:46,Daniel Parker,2016-06-04,12:05,United States,"Croton Point Park, Croton, New York",?,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC326842,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC326842 - American Redstart - Setophaga ruticilla.mp3,/326842/download
323,American Redstart (Setophaga ruticilla),0:32,Iain,2016-07-01,07:30,Canada,"Peterborough, Peterborough County, Ontario",220,call,"Calling along path through urban greenspace.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC325277,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC325277 - American Redstart - Setophaga ruticilla.mp3,/325277/download
324,American Redstart (Setophaga ruticilla),0:52,Jim Berry,2016-06-04,08:31,United States,"Whalen State Forest, Town of North Harmony (near  Sherman), Chautauqua County, New York",480,song,"bird-seen:yes
playback-used:yes
  [also]
[sono]",ABCDE,XC324932,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC324932 - American Redstart - Setophaga ruticilla.mp3,/324932/download
325,American Redstart (Setophaga ruticilla),0:07,Jerald R,2016-05-15,15:00,United States,"Dover, Kent County, Delaware",10,song,"Male singing in the woods.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC317193,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC317193 - American Redstart - Setophaga ruticilla.mp3,/317193/download
326,American Redstart (Setophaga ruticilla),0:10,Alfonso Auerbach,2016-01-17,16:00,Honduras,"Hotel Cortijo del Lago, Santa Cruz de Yojoa, Cortés",650,call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC301201,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC301201 - American Redstart - Setophaga ruticilla.mp3,/301201/download
327,American Redstart (Setophaga ruticilla),0:09,Alfonso Auerbach,2015-12-23,06:00,Honduras,"Zamorano Campus, San Antonio de Oriente, Francisco Morazan",800,call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC296669,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC296669 - American Redstart - Setophaga ruticilla.mp3,/296669/download
328,American Redstart (Setophaga ruticilla),0:22,Nathan Hentze,2014-02-09,11:49,Jamaica,"Burnt Hil, Trelawny",500,call,"Spontaneously calling bird moving around roadside shrubs
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC289892,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC289892 - American Redstart - Setophaga ruticilla.mp3,/289892/download
329,American Redstart (Setophaga ruticilla),0:38,Bobby Wilcox,2015-08-13,15:00,United States,"Saint Paul, Ramsey County, Minnesota",240,"male, song","Two males countersinging from either side of a road right next to the Mississippi River.  One is about 15ft from me and low in the trees, the other is across the road and about 50ft away, higher in the trees.  
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC272100,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC272100 - American Redstart - Setophaga ruticilla.mp3,/272100/download
330,American Redstart (Setophaga ruticilla),0:39,Daniel Parker,2015-07-02,19:05,Canada,"Université Sainte-Anne, Pointe-de-L'Église (Church Point), Clare, Nova Scotia",?,call,"Flitting around in trees, generally yellow and black.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC254953,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC254953 - American Redstart - Setophaga ruticilla.mp3,/254953/download
331,American Redstart (Setophaga ruticilla),0:30,Tom Auer,2015-06-05,08:59,United States,"South Kingstown, Washington County, Rhode Island",10,song,"http://ebird.org/ebird/view/checklist?subID=S23785582
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC254332,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC254332 - American Redstart - Setophaga ruticilla.mp3,/254332/download
332,American Redstart (Setophaga ruticilla),0:13,Richard Hoyer,2015-06-19,09:48,United States,"Deschutes River Trail, Bend, Oregon",1200,"male, song","Olympus LS-11, internal mic.
bird-seen:yes
playback-used:yes
  [also]
[sono]",ABCDE,XC253187,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC253187 - American Redstart - Setophaga ruticilla.mp3,/253187/download
333,American Redstart (Setophaga ruticilla),0:34,Richard Hoyer,2015-06-19,09:30,United States,"Deschutes River Trail, Bend, Oregon",1200,"male, song","Olympus LS-11, internal mic.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC253186,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC253186 - American Redstart - Setophaga ruticilla.mp3,/253186/download
334,American Redstart (Setophaga ruticilla),0:09,Iain,2015-06-12,09:00,Canada,"Algonquin Highlands, Haliburton County, Ontario",400,song,"This is one of those warbler songs I can't place. I think it is a American Redstart. Singing from quite close and low in Alder swamp at a creek crossing. Believe there is also a Black-and-White Warbler in the background. http://ebird.org/ebird/view/checklist?subID=S23903956
bird-seen:no
playback-used:no
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC252880,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC252880 - American Redstart - Setophaga ruticilla.mp3,/252880/download
335,American Redstart (Setophaga ruticilla),1:53,Jeffrey MacLeod,2015-06-15,11:00,Canada,"Halifax (near  Wyses Corner), Halifax Regional Municipality, Nova Scotia",20,song,"Habitat: near a river, deciduous trees, stayed high in the trees.
Two chunks of recording are patched together.
bird-seen:no
playback-used:no
 Originally a mystery recording. See the forum. [also]
[sono]",ABCDE,XC252866,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC252866 - American Redstart - Setophaga ruticilla.mp3,/252866/download
336,American Redstart (Setophaga ruticilla),2:05,Hal Mitchell,2015-05-28,08:30,United States,"Duck Creek Township (near  Puxico), Stoddard County, Missouri",100,song,"Observed while walking the board walk.  
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC247839,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC247839 - American Redstart - Setophaga ruticilla.mp3,/247839/download
337,American Redstart (Setophaga ruticilla),0:42,Hal Mitchell,2015-05-21,09:30,United States,"Wappanocca (near  Turrell), Crittenden County, Arkansas",70,song,"Heard in dense woods adjacent to open water.  Never was able to locate the bird.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC247827,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC247827 - American Redstart - Setophaga ruticilla.mp3,/247827/download
338,American Redstart (Setophaga ruticilla),0:06,Maxime Aubert,2015-05-25,09:00,Canada,Ile Sainte-Hélène,10,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC246036,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC246036 - American Redstart - Setophaga ruticilla.mp3,/246036/download
339,American Redstart (Setophaga ruticilla),0:02,Maxime Aubert,2015-05-20,10:00,Canada,Châteauguay,30,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC244593,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC244593 - American Redstart - Setophaga ruticilla.mp3,/244593/download
340,American Redstart (Setophaga ruticilla),0:45,Daniel Parker,2015-05-17,16:30,United States,"Yard, Croton, New York",?,"atypical?, song","Identified from another recording I made of this song type (XC179279) and this forum topic
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC244577,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC244577 - American Redstart - Setophaga ruticilla.mp3,/244577/download
341,American Redstart (Setophaga ruticilla),0:21,Maxime Aubert,2015-05-17,10:00,Canada,Ile Sainte-Hélène,10,song,"should listen to it again
bird-seen:no
playback-used:no
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC243793,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC243793 - American Redstart - Setophaga ruticilla.mp3,/243793/download
342,American Redstart (Setophaga ruticilla),0:11,Maxime Aubert,2015-05-17,10:00,Canada,Ile Sainte-Hélène,10,song,"should listen to it again
bird-seen:no
playback-used:no
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC243789,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC243789 - American Redstart - Setophaga ruticilla.mp3,/243789/download
343,American Redstart (Setophaga ruticilla),0:44,Maxime Aubert,2015-05-17,10:00,Canada,Ile Sainte-Hélène,10,song,"should listen to it again
bird-seen:no
playback-used:no
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC243788,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC243788 - American Redstart - Setophaga ruticilla.mp3,/243788/download
344,(?) American Redstart (Setophaga ruticilla),0:27,Joshua Stevenson,2015-05-08,08:30,United States,"Oak Hill, Davidson County, Tennessee",240,"male, song","bird-seen:yes
 ID under discussion. See the forum.[sono]",ABCDE,XC243584,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC243584 - American Redstart - Setophaga ruticilla.mp3,/243584/download
345,American Redstart (Setophaga ruticilla),0:29,Dylan Pedro,2015-05-07,18:30,United States,"Burrillville, Providence County, Rhode Island",170,"male, song","Recorded with Canon EOS Rebel T3i built-in mic. Filtered for noise and slightly amplified with Audacity. Habitat: Streamside,  mixed deciduous forest. Behavior: Singing above stream. Two songs heard are the approximate frequency of all songs heard (i.e. maybe once every 20 seconds or so) Plumage: Adult male. Nearby was an immature male which was also singing. Conditions: Sunny evening, mild wind from S.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC240408,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC240408 - American Redstart - Setophaga ruticilla.mp3,/240408/download
346,American Redstart (Setophaga ruticilla),0:02,Richard Aracil,2015-04-08,07:00,Belize,"Belize, Cockscomb Basin Forest Reserve",~200,"call, song","Short, high-pitched, very rapid, rising-falling trill. Bird called several times at infrequent intervals and not very conspicuous among other species vocalizing in the area. Each call was essentially identical to this clip in both length and quality. The long uncut recording is also available. From upper mid-story of tall, second-growth tropical forest near riparian edge.
bird-seen:no
playback-used:no
 Originally a mystery recording. See the forum. [also]
[sono]",ABCDE,XC237106,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC237106 - American Redstart - Setophaga ruticilla.mp3,/237106/download
347,American Redstart (Setophaga ruticilla),0:37,Terry Davis,2013-09-29,14:05,United States,"11 (near  Shreveport), Bossier Parish, Louisiana",40,"call, chip","""Female-type""Bird foraging in mature black willow, dense understory. NOCA chip in background.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC216411,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC216411 - American Redstart - Setophaga ruticilla.mp3,/216411/download
348,American Redstart (Setophaga ruticilla),0:10,Albert Lastukhin & Max Lastukhin,2015-01-24,10:30,Dominican Republic,Puerto Plata,60,"call, male","bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC213663,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC213663 - American Redstart - Setophaga ruticilla.mp3,/213663/download
349,American Redstart (Setophaga ruticilla),1:16,Richard E. Webster,2014-06-28,05:28,Canada,"Trout Creek, Wells Gray Provincial Park, British Columbia",750,song,"bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC195892,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC195892 - American Redstart - Setophaga ruticilla.mp3,/195892/download
350,American Redstart (Setophaga ruticilla),1:32,Richard E. Webster,2014-06-25,03:57,Canada,"Meziadin Lake Provincial Park, British Columbia",260,song,"sounds like two birds, one a young male?
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC195559,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC195559 - American Redstart - Setophaga ruticilla.mp3,/195559/download
351,American Redstart (Setophaga ruticilla),0:25,Richard E. Webster,2014-06-18,05:26,Canada,"Beatton Provincial Park, British Columbia",700,song,"song of one-year-old male
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC190046,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC190046 - American Redstart - Setophaga ruticilla.mp3,/190046/download
352,American Redstart (Setophaga ruticilla),2:49,Paul Marvin,2014-04-27,10:04,United States,"Orlando Wetlands, Christmas, Orange County, Florida",0,song,"singing migrant
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC177177,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC177177 - American Redstart - Setophaga ruticilla.mp3,/177177/download
353,American Redstart (Setophaga ruticilla),0:07,Paul J Champlin,2013-09-18,06:30,United States,"Westport, Bristol, Massachusetts",0,flight call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC147878,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC147878 - American Redstart - Setophaga ruticilla.mp3,/147878/download
354,American Redstart (Setophaga ruticilla),0:03,Paul J Champlin,2013-09-18,06:30,United States,"Westport, Bristol, Massachusetts",0,flight call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC147876,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC147876 - American Redstart - Setophaga ruticilla.mp3,/147876/download
355,American Redstart (Setophaga ruticilla),0:19,Paul J Champlin,2013-09-18,06:30,United States,"Westport, Bristol, Massachusetts",0,flight call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC147875,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC147875 - American Redstart - Setophaga ruticilla.mp3,/147875/download
356,American Redstart (Setophaga ruticilla),0:12,Paul J Champlin,2013-09-05,07:30,United States,"Westport, Bristol, Massachusetts",0,flight call,"bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC147175,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC147175 - American Redstart - Setophaga ruticilla.mp3,/147175/download
357,American Redstart (Setophaga ruticilla),0:36,Paul J Champlin,2013-09-05,07:30,United States,"Westport, Bristol, Massachusetts",0,flight call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC147173,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC147173 - American Redstart - Setophaga ruticilla.mp3,/147173/download
358,American Redstart (Setophaga ruticilla),0:03,Paul J Champlin,2013-09-05,07:30,United States,"Westport, Bristol, Massachusetts",0,flight call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC147172,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC147172 - American Redstart - Setophaga ruticilla.mp3,/147172/download
359,American Redstart (Setophaga ruticilla),0:07,Paul J Champlin,2013-09-05,07:30,United States,"Westport, Bristol, Massachusetts",0,flight call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC147170,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC147170 - American Redstart - Setophaga ruticilla.mp3,/147170/download
360,American Redstart (Setophaga ruticilla),0:14,Paul Driver,2013-07-17,08:07,United States,"Nesowadnehunk Tote Road (south of Nesowadnehunk Field), Baxter State P",420,begging call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC144562,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC144562 - American Redstart - Setophaga ruticilla.mp3,/144562/download
