,Common name / Scientific,Length,Recordist,Date,Time,Country,Location,Elev. (m),Type,Remarks,Actions,Cat.nr.,copyright,filename,download url,file_location
769,European Turtle Dove (Streptopelia turtur),1:04,Tomas Belka,2008-07-03,6:17,Czech Republic,"Horni Lipka, Kralicky Sneznik Mts., Eastern Bohemia",650,song,"Very excited male in presence of a female. Both bird are sitting in a solitery shrub in the field.
 [sono]",ABCDE,XC75092,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC75092 - European Turtle Dove - Streptopelia turtur.mp3,/75092/download,./nips/data/XC75092 - European Turtle Dove - Streptopelia turtur.mp3
770,European Turtle Dove (Streptopelia turtur),1:01,Niels Krabbe,2010-07-25,10:00,France,"La Grande Bougreliére, Pays de la Loire",100,song,"[also]
[sono]",ABCDE,XC58791,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC58791 - European Turtle Dove - Streptopelia turtur.mp3,/58791/download,./nips/data/XC58791 - European Turtle Dove - Streptopelia turtur.mp3
771,European Turtle Dove (Streptopelia turtur),0:21,Jordi Calvet,2022-07-14,10:00,Spain,"Navàs, El Bages, Catalunya",550,"sex uncertain, song","bird-seen:no
playback-used:no
 [sono]",ABCDE,XC738157,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC738157 - European Turtle Dove - Streptopelia turtur.mp3,/738157/download,./nips/data/XC738157 - European Turtle Dove - Streptopelia turtur.mp3
772,European Turtle Dove (Streptopelia turtur),0:25,Jordi Calvet,2022-07-14,10:00,Spain,"Navàs, El Bages, Catalunya",550,"sex uncertain, song, wing beats","bird-seen:no
playback-used:no
 [sono]",ABCDE,XC738156,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC738156 - European Turtle Dove - Streptopelia turtur.mp3,/738156/download,./nips/data/XC738156 - European Turtle Dove - Streptopelia turtur.mp3
773,European Turtle Dove (Streptopelia turtur),1:15,Jordi Calvet,2022-07-14,09:00,Spain,"Navàs, El Bages, Catalunya",550,"adult, sex uncertain, song","bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC738154,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC738154 - European Turtle Dove - Streptopelia turtur.mp3,/738154/download,./nips/data/XC738154 - European Turtle Dove - Streptopelia turtur.mp3
774,European Turtle Dove (Streptopelia turtur),0:05,Jorge Leitão,2022-07-02,12:09,Portugal,"Briteiros (Santo Estêvão), Guimarães, Braga",130,"male, song","bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC735596,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC735596 - European Turtle Dove - Streptopelia turtur.mp3,/735596/download,./nips/data/XC735596 - European Turtle Dove - Streptopelia turtur.mp3
775,European Turtle Dove (Streptopelia turtur),0:09,Nelson Conceição,2022-05-20,12:22,Portugal,"Luz de Tavira (near  Moncarapacho), Tavira, Faro District",10,song,"https://ebird.org/portugal/checklist/S113338049
Recorder: Zoom H1n
Windscreen: Zoom WSU-1
Editing: Audacity (High-pass filter 250Hz/6dB, sound normalized to -3dB).
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC734275,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC734275 - European Turtle Dove - Streptopelia turtur.mp3,/734275/download,./nips/data/XC734275 - European Turtle Dove - Streptopelia turtur.mp3
776,European Turtle Dove (Streptopelia turtur),0:49,Jacobo Ramil Millarengo,2022-06-25,19:00,Spain,"Xinzo, Brión, A Coruña, Galicia",100,"male, song","Singing   from  a high eucaliptus branch. LPF 600 Hz, HPF 200 Hz
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC734177,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC734177 - European Turtle Dove - Streptopelia turtur.mp3,/734177/download,./nips/data/XC734177 - European Turtle Dove - Streptopelia turtur.mp3
777,European Turtle Dove (Streptopelia turtur),0:27,Lonnie Bregman,2022-04-24,12:00,Spain,"Fuente de Piedra, Málaga, Andalusia",420,"adult, song, wing-clapping","You can actually hear the wings clapping as it flies away at the end.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC733581,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC733581 - European Turtle Dove - Streptopelia turtur.mp3,/733581/download,./nips/data/XC733581 - European Turtle Dove - Streptopelia turtur.mp3
778,European Turtle Dove (Streptopelia turtur),1:08,Branislav Oblučar,2022-06-11,19:15,Croatia,"Kolan, Općina Pag, Zadar County",0,"adult, male, song, wingbeat","bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC732214,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC732214 - European Turtle Dove - Streptopelia turtur.mp3,/732214/download,./nips/data/XC732214 - European Turtle Dove - Streptopelia turtur.mp3
779,European Turtle Dove (Streptopelia turtur),0:51,Stanislas Wroza,2022-05-23,15:00,Spain,"Zaragoza (near  Juslibol), Zaragoza, Aragon",220,"jerky song, song","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC730451,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC730451 - European Turtle Dove - Streptopelia turtur.mp3,/730451/download,./nips/data/XC730451 - European Turtle Dove - Streptopelia turtur.mp3
780,European Turtle Dove (Streptopelia turtur),0:06,David Bissett,2022-06-02,08:00,United Kingdom,"Wrabness Nature reserve, Essex, England",0,"adult, song","This was an area of bushes, small trees and scrub.
bird-seen:no
  [also]
[sono]",ABCDE,XC728936,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC728936 - European Turtle Dove - Streptopelia turtur.mp3,/728936/download,./nips/data/XC728936 - European Turtle Dove - Streptopelia turtur.mp3
781,European Turtle Dove (Streptopelia turtur),1:04,Simon Elliott,2022-05-04,07:55,United Kingdom,"Broxa Forest, North Yorkshire, England",220,song,"song (wind in trees)
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC723326,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC723326 - European Turtle Dove - Streptopelia turtur.mp3,/723326/download,./nips/data/XC723326 - European Turtle Dove - Streptopelia turtur.mp3
782,European Turtle Dove (Streptopelia turtur),0:18,Chèvremont Fabian,2021-06-13,09:30,Belgium,"VIELSALM Route de Saint-Vith (near  Vielsalm), Luxembourg, Région Wallonne",360,song,"[also]
[sono]",ABCDE,XC718379,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC718379 - European Turtle Dove - Streptopelia turtur.mp3,/718379/download,./nips/data/XC718379 - European Turtle Dove - Streptopelia turtur.mp3
783,European Turtle Dove (Streptopelia turtur),0:03,Steffen Hartmann,2021-06-27,11:34,Germany,"Breisgau-Hochschwarzwald (near  Ihringen), Freiburg, Baden-Württemberg",240,"adult, song","habitat wineyard;
recording device Sony PCM A10
no filtering
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC672574,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC672574 - European Turtle Dove - Streptopelia turtur.mp3,/672574/download,./nips/data/XC672574 - European Turtle Dove - Streptopelia turtur.mp3
784,European Turtle Dove (Streptopelia turtur),0:20,Johan Mellquist,2019-05-26,09:30,Sweden,"Kumla, Kumla, Örebro län",60,"adult, male, song","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC671756,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC671756 - European Turtle Dove - Streptopelia turtur.mp3,/671756/download,./nips/data/XC671756 - European Turtle Dove - Streptopelia turtur.mp3
785,European Turtle Dove (Streptopelia turtur),0:18,Grzegorz Lorek,2021-05-31,19:10,Poland,"Gmina Rydzyna (near  Robczysko), leszczyński, Wielkopolskie",90,"life stage uncertain, sex uncertain, song","Small  group of trees with dense undercover in small river valley adjacent to meadows. Recorder Zoom H1n. No edit. The same bird as on XC668300.
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC668301,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC668301 - European Turtle Dove - Streptopelia turtur.mp3,/668301/download,./nips/data/XC668301 - European Turtle Dove - Streptopelia turtur.mp3
786,European Turtle Dove (Streptopelia turtur),0:14,Grzegorz Lorek,2021-05-31,19:10,Poland,"Gmina Rydzyna (near  Robczysko), leszczyński, Wielkopolskie",90,"life stage uncertain, sex uncertain, song","Small  group of trees with dense undercover in small river valley adjacent to meadows. Recorder Zoom H1n. No edit. The same bird as on XC668301.
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC668300,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC668300 - European Turtle Dove - Streptopelia turtur.mp3,/668300/download,./nips/data/XC668300 - European Turtle Dove - Streptopelia turtur.mp3
787,European Turtle Dove (Streptopelia turtur turtur),0:20,Frank Lambert,2021-06-26,07:16,United Kingdom,"Knepp Estate, West Grinstead, West Sussex, England",20,"adult, song","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC665173,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC665173 - European Turtle Dove - Streptopelia turtur turtur.mp3,/665173/download,./nips/data/XC665173 - European Turtle Dove - Streptopelia turtur turtur.mp3
788,European Turtle Dove (Streptopelia turtur),0:17,Luís Filipe Silva Santos,2021-06-30,18:46,Portugal,"Silves, Faro",40,"adult, male, song","bird-seen:no
playback-used:no
 [sono]",ABCDE,XC662121,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC662121 - European Turtle Dove - Streptopelia turtur.mp3,/662121/download,./nips/data/XC662121 - European Turtle Dove - Streptopelia turtur.mp3
789,European Turtle Dove (Streptopelia turtur),0:41,Jorge Leitão,2021-06-11,13:28,Portugal,"Estuário do Âncora, Caminha, Viana do Castelo",0,song,"bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC657209,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC657209 - European Turtle Dove - Streptopelia turtur.mp3,/657209/download,./nips/data/XC657209 - European Turtle Dove - Streptopelia turtur.mp3
790,European Turtle Dove (Streptopelia turtur),0:26,Joan Balfagon,2021-05-31,18:00,Spain,"L'horta de Godella (near  Godella), Valencia, Comunidad Valenciana",30,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC656532,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC656532 - European Turtle Dove - Streptopelia turtur.mp3,/656532/download,./nips/data/XC656532 - European Turtle Dove - Streptopelia turtur.mp3
791,European Turtle Dove (Streptopelia turtur),0:53,Bernard BOUSQUET,2021-06-02,10:00,France,"Saint-Georges-d'Oléron, Charente-Maritime, Aquitaine Limousin Poitou-Charentes",0,song,"bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC655781,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC655781 - European Turtle Dove - Streptopelia turtur.mp3,/655781/download,./nips/data/XC655781 - European Turtle Dove - Streptopelia turtur.mp3
792,European Turtle Dove (Streptopelia turtur),0:09,Manceau Lionel,2021-06-05,08:00,France,"Daon, Mayenne, Pays de la Loire",50,"adult, male, song","bird-seen:no
playback-used:no
 [sono]",ABCDE,XC655244,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC655244 - European Turtle Dove - Streptopelia turtur.mp3,/655244/download,./nips/data/XC655244 - European Turtle Dove - Streptopelia turtur.mp3
793,European Turtle Dove (Streptopelia turtur),0:13,Aaron Dreißigacker,2021-06-06,10:39,Germany,"Rülzheim Freizeitzentrum (near  Rülzheim), Rheinland-Pfalz",110,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC654880,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC654880 - European Turtle Dove - Streptopelia turtur.mp3,/654880/download,./nips/data/XC654880 - European Turtle Dove - Streptopelia turtur.mp3
794,European Turtle Dove (Streptopelia turtur),0:27,Ireneusz Oleksik,2021-05-23,07:10,Poland,"Gmina Kobiór (near  Świerczyniec), Pszczyna County, Śląskie",260,"sex uncertain, song","The same bird as XC650911. Mostly coniferous forest, ME 66, Tascam DR-100 MK III.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC650913,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC650913 - European Turtle Dove - Streptopelia turtur.mp3,/650913/download,./nips/data/XC650913 - European Turtle Dove - Streptopelia turtur.mp3
795,European Turtle Dove (Streptopelia turtur),0:26,Ireneusz Oleksik,2021-05-23,07:06,Poland,"Gmina Kobiór (near  Świerczyniec), Pszczyna County, Śląskie",260,"sex uncertain, song","Mostly coniferous forest, ME 66, Tascam DR-100 MK III.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC650911,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC650911 - European Turtle Dove - Streptopelia turtur.mp3,/650911/download,./nips/data/XC650911 - European Turtle Dove - Streptopelia turtur.mp3
796,European Turtle Dove (Streptopelia turtur),0:44,Peter Boesman,2021-05-12,08:30,Belgium,"Fagne de Malchamps, Liège, Wallonie",550,song,[sono],ABCDE,XC647919,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC647919 - European Turtle Dove - Streptopelia turtur.mp3,/647919/download,./nips/data/XC647919 - European Turtle Dove - Streptopelia turtur.mp3
797,European Turtle Dove (Streptopelia turtur),0:52,Paulo Alves,2021-05-11,19:00,Portugal,"Sobradelo (near  Capeludos), Boticas, Vila Real",380,"male, song","bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC647808,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC647808 - European Turtle Dove - Streptopelia turtur.mp3,/647808/download,./nips/data/XC647808 - European Turtle Dove - Streptopelia turtur.mp3
798,European Turtle Dove (Streptopelia turtur),0:06,"Olivier SWIFT, Hélène CARTAUD",2021-05-01,13:01,France,"Plélan-le-Grand, Ille-et-Vilaine, Bretagne",110,song,"TascamDR05X - Dodotronic parabole
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC647059,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC647059 - European Turtle Dove - Streptopelia turtur.mp3,/647059/download,./nips/data/XC647059 - European Turtle Dove - Streptopelia turtur.mp3
799,European Turtle Dove (Streptopelia turtur),0:17,"Olivier SWIFT, Hélène CARTAUD",2021-05-01,13:01,France,"Plélan-le-Grand, Ille-et-Vilaine, Bretagne",110,song,"TascamDR05X - Dodotronic parabole
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC647057,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC647057 - European Turtle Dove - Streptopelia turtur.mp3,/647057/download,./nips/data/XC647057 - European Turtle Dove - Streptopelia turtur.mp3
800,European Turtle Dove (Streptopelia turtur),1:21,Bernard BOUSQUET,2021-05-09,09:00,France,"Ger, Pyrénées-Atlantiques, Aquitaine",420,"adult, song","bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC646674,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC646674 - European Turtle Dove - Streptopelia turtur.mp3,/646674/download,./nips/data/XC646674 - European Turtle Dove - Streptopelia turtur.mp3
801,European Turtle Dove (Streptopelia turtur),0:35,Jacobo Ramil MIllarengo,2021-04-24,11:30,Spain,"San Vicenzo de Marantes, Busto, Santiago de Compostela, A Coruña, Galicia",300,"adult, song","LPF 2000 Hz. The first of the year.
bird-seen:yes
  [also]
[sono]",ABCDE,XC642268,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC642268 - European Turtle Dove - Streptopelia turtur.mp3,/642268/download,./nips/data/XC642268 - European Turtle Dove - Streptopelia turtur.mp3
802,European Turtle Dove (Streptopelia turtur),0:19,Bram Vogels,2020-05-10,00:00,Belgium,"Kalmthout, Antwerpen, Vlaanderen",10,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC583712,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC583712 - European Turtle Dove - Streptopelia turtur.mp3,/583712/download,./nips/data/XC583712 - European Turtle Dove - Streptopelia turtur.mp3
803,European Turtle Dove (Streptopelia turtur),2:26,Benoît Van Hecke,2020-08-12,18:52,France,"Quinçay, Vienne, Nouvelle-Aquitaine",140,"adult, song","Rode ntg4+, zoom F1
 [sono]",ABCDE,XC582028,Creative Commons Attribution-ShareAlike 4.0,XC582028 - European Turtle Dove - Streptopelia turtur.mp3,/582028/download,./nips/data/XC582028 - European Turtle Dove - Streptopelia turtur.mp3
804,European Turtle Dove (Streptopelia turtur),0:17,Waldemar Michalak,2020-07-19,08:30,Poland,"Gmina Brodnica (near  Grzybno), śremski, wielkopolskie",70,"call, male","[also]
[sono]",ABCDE,XC577302,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC577302 - European Turtle Dove - Streptopelia turtur.mp3,/577302/download,./nips/data/XC577302 - European Turtle Dove - Streptopelia turtur.mp3
805,European Turtle Dove (Streptopelia turtur),1:30,Eduardo Realinho,2020-07-16,20:00,Spain,"Hoya de Huesca/Plana de Uesca (near  Agüero), Huesca, Aragón",650,"adult, male, song","Normalized -6db
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC576474,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC576474 - European Turtle Dove - Streptopelia turtur.mp3,/576474/download,./nips/data/XC576474 - European Turtle Dove - Streptopelia turtur.mp3
806,European Turtle Dove (Streptopelia turtur),0:16,Frantz Barrault,2020-06-29,07:30,France,"Labyrint'île (near  Barbâtre), Vendée, Pays de la Loire",0,"male, song","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC573204,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC573204 - European Turtle Dove - Streptopelia turtur.mp3,/573204/download,./nips/data/XC573204 - European Turtle Dove - Streptopelia turtur.mp3
807,European Turtle Dove (Streptopelia turtur),0:59,Samuel Levy,2020-06-27,19:00,United Kingdom,"Martin Down NR, New Forest District, Hampshire, England",150,"male, song","Unmodified recording using Tascam DR-05x
One in clump of dense bushes at the edge of ancient chalk meadows. 
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC572119,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC572119 - European Turtle Dove - Streptopelia turtur.mp3,/572119/download,./nips/data/XC572119 - European Turtle Dove - Streptopelia turtur.mp3
808,European Turtle Dove (Streptopelia turtur),0:18,Sidney M,2020-06-24,09:00,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",30,call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC571909,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC571909 - European Turtle Dove - Streptopelia turtur.mp3,/571909/download,./nips/data/XC571909 - European Turtle Dove - Streptopelia turtur.mp3
809,European Turtle Dove (Streptopelia turtur),1:14,Eduardo Realinho,2020-06-15,20:00,Spain,"Hoya de Huesca/Plana de Uesca (near  Loscorrales), Huesca, Aragón",420,song,"Normalized -6db
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC568844,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC568844 - European Turtle Dove - Streptopelia turtur.mp3,/568844/download,./nips/data/XC568844 - European Turtle Dove - Streptopelia turtur.mp3
810,European Turtle Dove (Streptopelia turtur),0:12,Guillaume Bigayon,2020-05-24,10:00,France,"Belval-en-Argonne, Marne, Grand Est",160,"adult, song","bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC567149,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC567149 - European Turtle Dove - Streptopelia turtur.mp3,/567149/download,./nips/data/XC567149 - European Turtle Dove - Streptopelia turtur.mp3
811,European Turtle Dove (Streptopelia turtur),0:14,Olivier SWIFT,2017-07-28,12:44,France,"Pleugriffet, Morbihan, Bretagne",110,"male, song","Tascam DR05 - Wildtronics parabole. Audacity AUBand Filter. Normalized -10dB 
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC565686,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC565686 - European Turtle Dove - Streptopelia turtur.mp3,/565686/download,./nips/data/XC565686 - European Turtle Dove - Streptopelia turtur.mp3
812,European Turtle Dove (Streptopelia turtur),0:56,Mr Mark Shorten,2016-06-15,06:30,Croatia,"Rovinj, Općina Rovinj, Istria County",10,"adult, call, sex uncertain","bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC565628,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC565628 - European Turtle Dove - Streptopelia turtur.mp3,/565628/download,./nips/data/XC565628 - European Turtle Dove - Streptopelia turtur.mp3
813,European Turtle Dove (Streptopelia turtur),0:14,Yoann Blanchon,2020-05-27,13:00,France,"Manduel, Gard, Occitanie [Localisation communale]",50,song,"ZOOM H2n / Primo EM172 (x2) en stéréo ; High Pass Filter 300Hz 6db
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC563571,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC563571 - European Turtle Dove - Streptopelia turtur.mp3,/563571/download,./nips/data/XC563571 - European Turtle Dove - Streptopelia turtur.mp3
814,European Turtle Dove (Streptopelia turtur),0:18,Yoann Blanchon,2020-05-27,10:30,France,"Manduel, Gard, Occitanie [Localisation communale]",50,song,"MixPre 3 II / SennheiserME66-K6 ; Low Pass Filter 1000Hz 6db
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC563498,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC563498 - European Turtle Dove - Streptopelia turtur.mp3,/563498/download,./nips/data/XC563498 - European Turtle Dove - Streptopelia turtur.mp3
815,European Turtle Dove (Streptopelia turtur),0:11,Eduardo Realinho,2020-05-23,10:00,Spain,"Tierra de Barros (near  Hornachos), Badajoz, Extremadura",650,song,"Normalized -6db
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC561429,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC561429 - European Turtle Dove - Streptopelia turtur.mp3,/561429/download,./nips/data/XC561429 - European Turtle Dove - Streptopelia turtur.mp3
816,European Turtle Dove (Streptopelia turtur),0:16,Moujib Gabous,2020-04-05,18:00,Tunisia,"Nefta, Nafta, Tozeur",60,"adult, song","The bird song was recorded in an oasis in Nefta in South of Tunisia.
bird-seen:yes
playback-used:no
 Recording (not its ID) has been discussed. See the forum.[sono]",ABCDE,XC549571,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC549571 - European Turtle Dove - Streptopelia turtur.mp3,/549571/download,./nips/data/XC549571 - European Turtle Dove - Streptopelia turtur.mp3
817,European Turtle Dove (Streptopelia turtur),1:04,Olivier SWIFT,2017-06-04,08:19,France,"Frossay, Loire-Atlantique, Pays de la Loire",0,song,"Tascam DR05 and Wildtronics parabole
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC511214,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC511214 - European Turtle Dove - Streptopelia turtur.mp3,/511214/download,./nips/data/XC511214 - European Turtle Dove - Streptopelia turtur.mp3
818,European Turtle Dove (Streptopelia turtur),0:18,Twan Mols,2019-07-30,08:00,Netherlands,"Goedereede, Goeree-Overflakkee, Zuid-Holland",0,song,"1 ex in de duinen
 [sono]",ABCDE,XC501203,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC501203 - European Turtle Dove - Streptopelia turtur.mp3,/501203/download,./nips/data/XC501203 - European Turtle Dove - Streptopelia turtur.mp3
819,European Turtle Dove (Streptopelia turtur),0:18,Twan Mols,2019-07-30,08:00,Netherlands,"Goedereede, Goeree-Overflakkee, Zuid-Holland",0,song,"1 ex in de duinen
bird-seen:yes
 [sono]",ABCDE,XC501200,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC501200 - European Turtle Dove - Streptopelia turtur.mp3,/501200/download,./nips/data/XC501200 - European Turtle Dove - Streptopelia turtur.mp3
820,European Turtle Dove (Streptopelia turtur),0:10,Florian Engelbrecht,2019-07-22,10:54,Germany,"Ecological Botanical Garden (near  Bayreuth), Oberfranken, Bayern",360,song,"bird-seen:yes
 [sono]",ABCDE,XC488609,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC488609 - European Turtle Dove - Streptopelia turtur.mp3,/488609/download,./nips/data/XC488609 - European Turtle Dove - Streptopelia turtur.mp3
821,European Turtle Dove (Streptopelia turtur),0:31,Nelson Conceição,2019-06-28,11:16,Portugal,"Mata Nacional das Dunas de Vila Real de Santo António (near  Vila Real de Santo António), Vila Real de Santo António, Faro",0,song,"Recorder: Zoom H1n.
Editing: Audacity (High-pass filter 250Hz/6dB, sound normalized to -3dB).
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC486185,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC486185 - European Turtle Dove - Streptopelia turtur.mp3,/486185/download,./nips/data/XC486185 - European Turtle Dove - Streptopelia turtur.mp3
822,European Turtle Dove (Streptopelia turtur),0:17,Nelson Conceição,2019-06-28,11:12,Portugal,"Mata Nacional das Dunas de Vila Real de Santo António (near  Vila Real de Santo António), Vila Real de Santo António, Faro",0,song,"Recorder: Zoom H1n.
Editing: Audacity (High-pass filter 250Hz/6dB, sound normalized to -3dB).
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC486180,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC486180 - European Turtle Dove - Streptopelia turtur.mp3,/486180/download,./nips/data/XC486180 - European Turtle Dove - Streptopelia turtur.mp3
823,European Turtle Dove (Streptopelia turtur),0:32,Nelson Conceição,2019-06-28,11:06,Portugal,"Mata Nacional das Dunas de Vila Real de Santo António (near  Vila Real de Santo António), Vila Real de Santo António, Faro",0,song,"Recorder: Zoom H1n.
Editing: Audacity (High-pass filter 250Hz/6dB, sound normalized to -3dB).
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC486175,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC486175 - European Turtle Dove - Streptopelia turtur.mp3,/486175/download,./nips/data/XC486175 - European Turtle Dove - Streptopelia turtur.mp3
824,European Turtle Dove (Streptopelia turtur),0:27,Jorge Leitão,2019-06-16,09:08,Portugal,"Santo André, Montalegre, Vila Real",850,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC484758,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC484758 - European Turtle Dove - Streptopelia turtur.mp3,/484758/download,./nips/data/XC484758 - European Turtle Dove - Streptopelia turtur.mp3
825,European Turtle Dove (Streptopelia turtur),0:10,Jorge Leitão,2019-06-15,18:23,Portugal,"Pitões das Junias, Montalegre, Vila Real",1100,song,"bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC484756,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC484756 - European Turtle Dove - Streptopelia turtur.mp3,/484756/download,./nips/data/XC484756 - European Turtle Dove - Streptopelia turtur.mp3
826,European Turtle Dove (Streptopelia turtur),0:13,Jorge Leitão,2019-06-15,18:24,Portugal,"Pitões das Junias, Montalegre, Vila Real",1100,song,"bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC484752,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC484752 - European Turtle Dove - Streptopelia turtur.mp3,/484752/download,./nips/data/XC484752 - European Turtle Dove - Streptopelia turtur.mp3
827,European Turtle Dove (Streptopelia turtur),0:42,Richard Beason,2018-05-20,16:00,United Kingdom,"Great Britain (near  Dial Post), West Sussex, England",10,song,"Lots of birds in the background and some rustling but loud and clear song for > 40s. Recorded with AURITA autonomous recorder at Knepp Castle estate. 
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC481730,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC481730 - European Turtle Dove - Streptopelia turtur.mp3,/481730/download,./nips/data/XC481730 - European Turtle Dove - Streptopelia turtur.mp3
